epoch 76 | loss: 384.15817| train_rmsle: 0.44626 | train_mae: 21.9171 | train_rmse: 23.17406| train_mse: 537.03698| valid_rmsle: 0.42286 | valid_mae: 20.88156| valid_rmse: 22.28725| valid_mse: 496.72156|  0:00:08s
epoch 77 | loss: 352.5809| train_rmsle: 0.41686 | train_mae: 20.66264| train_rmse: 21.98053| train_mse: 483.14366| valid_rmsle: 0.39741 | valid_mae: 19.79717| valid_rmse: 21.22748| valid_mse: 450.60577|  0:00:08s
epoch 78 | loss: 320.76352| train_rmsle: 0.39211 | train_mae: 19.59838| train_rmse: 20.96586| train_mse: 439.56713| valid_rmsle: 0.38132 | valid_mae: 19.06619| valid_rmse: 20.55495| valid_mse: 422.50607|  0:00:09s
epoch 79 | loss: 281.39682| train_rmsle: 0.36851 | train_mae: 18.54209| train_rmse: 19.97794| train_mse: 399.11816| valid_rmsle: 0.36641 | valid_mae: 18.35757| valid_rmse: 19.91709| valid_mse: 396.69036|  0:00:09s
epoch 80 | loss: 250.44501| train_rmsle: 0.34977 | train_mae: 17.63599| train_rmse: 19.17334| train_mse: 367.617 | valid_rmsle: 0.34913 | valid_mae: 17.53854| valid_rmse: 19.17751| valid_mse: 367.77672|  0:00:09s
epoch 81 | loss: 221.40967| train_rmsle: 0.32484 | train_mae: 16.47051| train_rmse: 18.07917| train_mse: 326.85636| valid_rmsle: 0.32743 | valid_mae: 16.56863| valid_rmse: 18.21548| valid_mse: 331.80385|  0:00:09s
epoch 82 | loss: 195.86615| train_rmsle: 0.3007  | train_mae: 15.33331| train_rmse: 16.99171| train_mse: 288.71828| valid_rmsle: 0.30631 | valid_mae: 15.54765| valid_rmse: 17.27868| valid_mse: 298.55282|  0:00:09s
epoch 83 | loss: 158.47662| train_rmsle: 0.27841 | train_mae: 14.27664| train_rmse: 15.96472| train_mse: 254.87218| valid_rmsle: 0.28793 | valid_mae: 14.64485| valid_rmse: 16.46769| valid_mse: 271.18498|  0:00:09s
epoch 84 | loss: 135.71687| train_rmsle: 0.26112 | train_mae: 13.39844| train_rmse: 15.13478| train_mse: 229.06151| valid_rmsle: 0.27676 | valid_mae: 14.0644 | valid_rmse: 15.96734| valid_mse: 254.95592|  0:00:09s
epoch 85 | loss: 114.48351| train_rmsle: 0.24452 | train_mae: 12.61007| train_rmse: 14.31968| train_mse: 205.05311| valid_rmsle: 0.25432 | valid_mae: 12.98802| valid_rmse: 14.85964| valid_mse: 220.8089|  0:00:09s
epoch 86 | loss: 98.00246| train_rmsle: 0.22672 | train_mae: 11.74088| train_rmse: 13.41713| train_mse: 180.01946| valid_rmsle: 0.23644 | valid_mae: 12.08482| valid_rmse: 13.96043| valid_mse: 194.89374|  0:00:09s
epoch 87 | loss: 80.80513| train_rmsle: 0.20823 | train_mae: 10.77277| train_rmse: 12.44962| train_mse: 154.99314| valid_rmsle: 0.21842 | valid_mae: 11.2064 | valid_rmse: 13.06104| valid_mse: 170.59081|  0:00:09s
epoch 88 | loss: 69.1136 | train_rmsle: 0.18951 | train_mae: 9.77842 | train_rmse: 11.44092| train_mse: 130.89458| valid_rmsle: 0.20019 | valid_mae: 10.24096| valid_rmse: 12.08394| valid_mse: 146.02172|  0:00:10s
epoch 89 | loss: 58.39967| train_rmsle: 0.17201 | train_mae: 8.80574 | train_rmse: 10.46581| train_mse: 109.53327| valid_rmsle: 0.181   | valid_mae: 9.18207 | valid_rmse: 11.02939| valid_mse: 121.64735|  0:00:10s
epoch 90 | loss: 51.29643| train_rmsle: 0.15893 | train_mae: 8.09687 | train_rmse: 9.71729 | train_mse: 94.4257 | valid_rmsle: 0.16295 | valid_mae: 8.23205 | valid_rmse: 10.02039| valid_mse: 100.40815|  0:00:10s
epoch 91 | loss: 41.0058 | train_rmsle: 0.14701 | train_mae: 7.47707 | train_rmse: 9.00398 | train_mse: 81.07169| valid_rmsle: 0.15008 | valid_mae: 7.66708 | valid_rmse: 9.27004 | valid_mse: 85.93368|  0:00:10s
epoch 92 | loss: 40.35421| train_rmsle: 0.13992 | train_mae: 7.0979  | train_rmse: 8.57286 | train_mse: 73.49395| valid_rmsle: 0.14388 | valid_mae: 7.38475 | valid_rmse: 8.89071 | valid_mse: 79.04475|  0:00:10s
epoch 93 | loss: 38.72298| train_rmsle: 0.13598 | train_mae: 6.82728 | train_rmse: 8.33332 | train_mse: 69.44415| valid_rmsle: 0.13635 | valid_mae: 6.93994 | valid_rmse: 8.43793 | valid_mse: 71.19871|  0:00:10s
epoch 94 | loss: 35.67514| train_rmsle: 0.13174 | train_mae: 6.55311 | train_rmse: 8.07066 | train_mse: 65.1356 | valid_rmsle: 0.12567 | valid_mae: 6.30678 | valid_rmse: 7.81031 | valid_mse: 61.00098|  0:00:10s
epoch 95 | loss: 39.19785| train_rmsle: 0.12283 | train_mae: 6.00533 | train_rmse: 7.51816 | train_mse: 56.52267| valid_rmsle: 0.1218  | valid_mae: 6.19559 | valid_rmse: 7.54983 | valid_mse: 56.99997|  0:00:10s
epoch 96 | loss: 38.19816| train_rmsle: 0.11799 | train_mae: 5.64386 | train_rmse: 7.21883 | train_mse: 52.11146| valid_rmsle: 0.11418 | valid_mae: 5.7793  | valid_rmse: 7.0281  | valid_mse: 49.39416|  0:00:10s
epoch 97 | loss: 36.04339| train_rmsle: 0.11781 | train_mae: 5.6035  | train_rmse: 7.21457 | train_mse: 52.04999| valid_rmsle: 0.11334 | valid_mae: 5.7197  | valid_rmse: 6.96231 | valid_mse: 48.47371|  0:00:11s
epoch 98 | loss: 33.81571| train_rmsle: 0.11818 | train_mae: 5.56617 | train_rmse: 7.24376 | train_mse: 52.47204| valid_rmsle: 0.11788 | valid_mae: 5.5619  | valid_rmse: 7.12066 | valid_mse: 50.70375|  0:00:11s
epoch 99 | loss: 34.25358| train_rmsle: 0.12004 | train_mae: 5.62103 | train_rmse: 7.37478 | train_mse: 54.38743| valid_rmsle: 0.11614 | valid_mae: 5.49482 | valid_rmse: 7.00033 | valid_mse: 49.00467|  0:00:11s
epoch 100| loss: 33.2082 | train_rmsle: 0.11901 | train_mae: 5.63407 | train_rmse: 7.28246 | train_mse: 53.03429| valid_rmsle: 0.11216 | valid_mae: 5.4799  | valid_rmse: 6.75668 | valid_mse: 45.65267|  0:00:11s
epoch 101| loss: 31.20144| train_rmsle: 0.11589 | train_mae: 5.45969 | train_rmse: 7.07946 | train_mse: 50.11881| valid_rmsle: 0.10957 | valid_mae: 5.38666 | valid_rmse: 6.62143 | valid_mse: 43.84332|  0:00:11s
epoch 102| loss: 32.54743| train_rmsle: 0.11408 | train_mae: 5.42069 | train_rmse: 6.95607 | train_mse: 48.38693| valid_rmsle: 0.10655 | valid_mae: 5.22726 | valid_rmse: 6.41828 | valid_mse: 41.19432|  0:00:11s
epoch 103| loss: 30.97777| train_rmsle: 0.11215 | train_mae: 5.3897  | train_rmse: 6.82584 | train_mse: 46.59203| valid_rmsle: 0.10419 | valid_mae: 5.06679 | valid_rmse: 6.28852 | valid_mse: 39.54543|  0:00:11s
epoch 104| loss: 29.09736| train_rmsle: 0.10892 | train_mae: 5.27786 | train_rmse: 6.63463 | train_mse: 44.01827| valid_rmsle: 0.10103 | valid_mae: 4.90236 | valid_rmse: 6.12978 | valid_mse: 37.57415|  0:00:11s
